task,input_id,field,human_value,model_value,status,human_evidence,model_evidence,human_justification,model_justification
individual,T0009,perceived_profile.action.label,physical,physical,match,"{""counterevidence"":[""S013-C02"",""S019-C01""],""supporting"":[""S010-C01"",""S017-C02"",""S035-C01""]}","{""counterevidence"":[""S003-C01"",""S019-C01""],""supporting"":[""S010-C01"",""S017-C02"",""S035-C01""]}","Several voluntary choices favor direct force or confrontation, including fighting the Giaks, charging through attackers, and fighting the madman. The player also uses cover and bypasses some conflicts, so physical action does not dominate every situation.","The player consistently chooses direct confrontation and physical force. They fight Giaks (S010), charge Doomwolves (S017), fight bandits (S030), and fight a madman (S035). Even when tactical options like hiding or evading are available (e.g., S025, S035), the player often opts for the physical engagement or the most direct physical route (roof jumping)."
individual,T0009,perceived_profile.action.support,mixed,clear,disagreement,"{""counterevidence"":[""S013-C02"",""S019-C01""],""supporting"":[""S010-C01"",""S017-C02"",""S035-C01""]}","{""counterevidence"":[""S003-C01"",""S019-C01""],""supporting"":[""S010-C01"",""S017-C02"",""S035-C01""]}","Several voluntary choices favor direct force or confrontation, including fighting the Giaks, charging through attackers, and fighting the madman. The player also uses cover and bypasses some conflicts, so physical action does not dominate every situation.","The player consistently chooses direct confrontation and physical force. They fight Giaks (S010), charge Doomwolves (S017), fight bandits (S030), and fight a madman (S035). Even when tactical options like hiding or evading are available (e.g., S025, S035), the player often opts for the physical engagement or the most direct physical route (roof jumping)."
individual,T0009,causal_continuity.label,continuous,continuous,match,[],[],"The chosen branches and subsequent scenes connect without an unsupported dependency or explicit contradiction. Forced, random, and combat resolutions preserve the stated situation from one paragraph to the next.","The narrative flow is logical. Transitions follow the choices made. For example, choosing to help the children leads to the fight with Giaks. Choosing to charge the Doomwolves leads to the encounter with the Kraan. No contradictions or unsupported dependencies are found."
individual,T0009,profile_coherence.label,mixed,coherent,disagreement,"{""counterevidence"":[""S013-C02"",""S019-C01""],""supporting"":[""S010-C01"",""S017-C02"",""S035-C01""]}","{""counterevidence"":[""S006-C02"",""S019-C01""],""supporting"":[""S009-C01"",""S010-C01"",""S017-C02""]}","A risk-accepting and physically direct profile is visible, especially around combat, but repeated evasive choices and route avoidance create a meaningful competing tactical tendency.","The decisions form a stable profile of a brave, duty-bound warrior who prefers direct action. The mix of risk-taking (charging enemies) and caution (hiding from superior air threats) is consistent with a skilled combatant assessing immediate threats. The moral choices align with the 'noble' archetype of the Kai warrior."
individual,T0014,perceived_profile.risk.label,cautious,cautious,match,"{""counterevidence"":[""S022-C01"",""S028-C01""],""supporting"":[""S016-C02"",""S017-C02"",""S025-C02""]}","{""counterevidence"":[""S022-C01""],""supporting"":[""S002-C02"",""S017-C02"",""S025-C02""]}","The player commonly stays under cover, leaves compromised routes, avoids uncertain contacts, and presses on rather than investigate optional sites. This pattern is opposed by entering an explicitly dangerous tunnel and deliberately approaching the sound of battle.","The player repeatedly chooses paths that minimize exposure to danger or allow for evasion. Evidence includes cutting through foliage to avoid known enemy tracks (S002-C02), freezing and hiding when a monster passes overhead (S003), avoiding the source of wood smoke (S017-C02), and choosing to travel under cover of trees rather than joining a visible refugee column (S025-C02). The decision to enter a dark tunnel (S022-C01) is a minor counterpoint, but the overall pattern favors stealth and avoidance over confrontation or exposure."
individual,T0014,perceived_profile.risk.support,mixed,clear,disagreement,"{""counterevidence"":[""S022-C01"",""S028-C01""],""supporting"":[""S016-C02"",""S017-C02"",""S025-C02""]}","{""counterevidence"":[""S022-C01""],""supporting"":[""S002-C02"",""S017-C02"",""S025-C02""]}","The player commonly stays under cover, leaves compromised routes, avoids uncertain contacts, and presses on rather than investigate optional sites. This pattern is opposed by entering an explicitly dangerous tunnel and deliberately approaching the sound of battle.","The player repeatedly chooses paths that minimize exposure to danger or allow for evasion. Evidence includes cutting through foliage to avoid known enemy tracks (S002-C02), freezing and hiding when a monster passes overhead (S003), avoiding the source of wood smoke (S017-C02), and choosing to travel under cover of trees rather than joining a visible refugee column (S025-C02). The decision to enter a dark tunnel (S022-C01) is a minor counterpoint, but the overall pattern favors stealth and avoidance over confrontation or exposure."
individual,T0014,perceived_profile.morality.label,selfish,selfish,match,"{""counterevidence"":[""S004-C01""],""supporting"":[""S027-C02"",""S029-C02""]}","{""counterevidence"":[""S004-C01""],""supporting"":[""S027-C02"",""S029-C02""]}","The trajectory later abandons a wounded King's soldier and then runs from the fallen Prince, both clear choices of self-preservation over helping others. Earlier, however, it warns the endangered wizard, providing direct noble counterevidence.","The player demonstrates a tendency to prioritize personal safety and mission completion over the welfare of others. While the player initially helps a wizard by shouting a warning (S004-C01), later decisions show a clear preference for self-preservation. The player explicitly chooses to leave a wounded King's soldier to die (S027-C02) and runs away from a battle where the Prince is being attacked, leading to their own death (S029-C02). The help provided to the wizard was a low-risk warning, whereas the later refusals to help involved direct abandonment of individuals in need."
individual,T0014,perceived_profile.morality.support,mixed,mixed,match,"{""counterevidence"":[""S004-C01""],""supporting"":[""S027-C02"",""S029-C02""]}","{""counterevidence"":[""S004-C01""],""supporting"":[""S027-C02"",""S029-C02""]}","The trajectory later abandons a wounded King's soldier and then runs from the fallen Prince, both clear choices of self-preservation over helping others. Earlier, however, it warns the endangered wizard, providing direct noble counterevidence.","The player demonstrates a tendency to prioritize personal safety and mission completion over the welfare of others. While the player initially helps a wizard by shouting a warning (S004-C01), later decisions show a clear preference for self-preservation. The player explicitly chooses to leave a wounded King's soldier to die (S027-C02) and runs away from a battle where the Prince is being attacked, leading to their own death (S029-C02). The help provided to the wizard was a low-risk warning, whereas the later refusals to help involved direct abandonment of individuals in need."
individual,T0014,perceived_profile.action.label,tactical,tactical,match,"{""counterevidence"":[],""supporting"":[""S004-C01"",""S016-C02"",""S025-C02""]}","{""counterevidence"":[""S004-C01""],""supporting"":[""S001-C01"",""S025-C02"",""S029-C02""]}","The player strongly favors non-physical responses: warning rather than attacking, changing route, avoiding smoke and exposed travel, declining optional exploration, and running from battle. There is little voluntary direct-force evidence.","The player consistently prefers observation, stealth, and strategic avoidance over direct physical confrontation. They use Sixth Sense to detect threats (S001-C01, S026-C01), hide from enemies (S003), avoid clearing investigations when possible (S017-C02), and choose to run away from combat rather than engage (S029-C02). Even when forced into combat (S023), it is a result of entering a tunnel for efficiency, not a desire for fight. The player avoids climbing the treehouse (S020-C02) and avoids the refugee crowd (S025-C02), favoring controlled, solitary movement."
individual,T0014,perceived_profile.action.support,clear,clear,match,"{""counterevidence"":[],""supporting"":[""S004-C01"",""S016-C02"",""S025-C02""]}","{""counterevidence"":[""S004-C01""],""supporting"":[""S001-C01"",""S025-C02"",""S029-C02""]}","The player strongly favors non-physical responses: warning rather than attacking, changing route, avoiding smoke and exposed travel, declining optional exploration, and running from battle. There is little voluntary direct-force evidence.","The player consistently prefers observation, stealth, and strategic avoidance over direct physical confrontation. They use Sixth Sense to detect threats (S001-C01, S026-C01), hide from enemies (S003), avoid clearing investigations when possible (S017-C02), and choose to run away from combat rather than engage (S029-C02). Even when forced into combat (S023), it is a result of entering a tunnel for efficiency, not a desire for fight. The player avoids climbing the treehouse (S020-C02) and avoids the refugee crowd (S025-C02), favoring controlled, solitary movement."
individual,T0014,causal_continuity.label,continuous,continuous,match,[],[],"The story's route changes, encounters, combat resolution, and final ambush follow from the preceding scenes without a verifiable missing cause or contradiction.","The narrative flow is logical. The player's decisions lead directly to the described outcomes. The final death is a direct consequence of running into the forest (S029-C02) where Drakkarim were waiting, which is a plausible risk of that choice. No contradictions or unsupported dependencies are found."
individual,T0014,profile_coherence.label,mixed,coherent,disagreement,"{""counterevidence"":[""S004-C01"",""S022-C01""],""supporting"":[""S016-C02"",""S025-C02"",""S027-C02""]}","{""counterevidence"":[""S004-C01""],""supporting"":[""S027-C02"",""S029-C02"",""S025-C02""]}","The risk and action choices are broadly cautious and tactical, but the moral profile shifts from aiding the wizard to abandoning two explicitly endangered allies.","The decisions form a stable profile of a cautious, self-preserving character who relies on stealth and avoidance. The initial help to the wizard is an exception, but the subsequent abandonment of the soldier and the Prince aligns with a 'selfish' or 'survivalist' orientation that prioritizes the mission and self over others. The tactical approach is consistent throughout."
pairwise,C002,narrative_distinctness.label,high,high,match,"{""story_a"":[""S004-C04"",""S008-C02"",""S021-C02"",""S024-C02"",""S027-C02""],""story_b"":[""S005-C01"",""S009-C01"",""S010-C01"",""S013-C01"",""S014-C01""]}","{""story_a"":[""S004-C04"",""S027-C02"",""S008-C02"",""S020-C02"",""S024-C02""],""story_b"":[""S005-C01"",""S009-C01"",""S010-C01"",""S014-C01"",""S008-C01""]}","The two stories create clearly different experiences of the journey. Story A is predominantly solitary and evasive, repeatedly using cover, avoiding encounters, and withdrawing from endangered characters. Story B instead spends much of its short route among refugees and endangered allies, repeatedly choosing to intervene and fight directly.","The two trajectories present fundamentally different experiences of the protagonist's journey. Story A is characterized by isolation, stealth, and avoidance; the protagonist actively flees from conflict (S004-C04, S027-C02) and navigates through dangerous terrain alone, resulting in a death by ambush after avoiding a major battle. Story B involves social interaction and direct engagement; the protagonist speaks with refugees (S005-C01), intervenes to save children from monsters (S009-C01, S010-C01), and fights to defend a Prince (S014-C01), leading to a different narrative arc involving a royal message before dying in a separate ambush. The manner of acting—solitary evasion versus communal defense—creates a clear distinction in the adventure experience."
pairwise,C002,perceived_profile_shift.risk,A_more_cautious,A_more_cautious,match,"{""story_a"":[""S004-C04"",""S008-C02"",""S021-C02"",""S024-C02"",""S027-C02""],""story_b"":[""S005-C01"",""S009-C01"",""S010-C01"",""S013-C01"",""S014-C01""]}","{""story_a"":[""S004-C04"",""S027-C02"",""S008-C02"",""S020-C02"",""S024-C02""],""story_b"":[""S005-C01"",""S009-C01"",""S010-C01"",""S014-C01"",""S008-C01""]}","Relative to B, A repeatedly avoids optional danger, remains under cover, and leaves other characters in danger, including the wizard and the fallen Prince. B approaches refugees, helps the children, chooses direct combat with the Giaks, follows the battle, and defends the Prince. These repeated contrasts make A more cautious, more selfish, and more tactical than B overall.","Story A demonstrates a cautious and tactical approach, repeatedly choosing to avoid confrontation. The protagonist flees a battle to save a wizard (S004-C04), avoids a stranger who turns out to be a monster (though forced into combat later, the initial choice was to call out, but the overall pattern is avoidance of the bridge battle S027-C02), and generally seeks cover or alternative routes (S008-C02, S020-C02). In contrast, Story B shows reckless engagement and noble action. The protagonist voluntarily fights Giaks to save children (S010-C01) and enters a fierce battle to defend the Prince (S014-C01). Regarding morality, A is more selfish as the protagonist abandons the wizard and the Prince to save themselves (S004-C04, S027-C02), whereas B is more noble, actively risking life to help refugees and the royal family (S009-C01, S014-C01). Action-wise, A relies on stealth and avoidance (tactical), while B relies on direct combat (physical)."
pairwise,C002,perceived_profile_shift.morality,A_more_selfish,A_more_selfish,match,"{""story_a"":[""S004-C04"",""S008-C02"",""S021-C02"",""S024-C02"",""S027-C02""],""story_b"":[""S005-C01"",""S009-C01"",""S010-C01"",""S013-C01"",""S014-C01""]}","{""story_a"":[""S004-C04"",""S027-C02"",""S008-C02"",""S020-C02"",""S024-C02""],""story_b"":[""S005-C01"",""S009-C01"",""S010-C01"",""S014-C01"",""S008-C01""]}","Relative to B, A repeatedly avoids optional danger, remains under cover, and leaves other characters in danger, including the wizard and the fallen Prince. B approaches refugees, helps the children, chooses direct combat with the Giaks, follows the battle, and defends the Prince. These repeated contrasts make A more cautious, more selfish, and more tactical than B overall.","Story A demonstrates a cautious and tactical approach, repeatedly choosing to avoid confrontation. The protagonist flees a battle to save a wizard (S004-C04), avoids a stranger who turns out to be a monster (though forced into combat later, the initial choice was to call out, but the overall pattern is avoidance of the bridge battle S027-C02), and generally seeks cover or alternative routes (S008-C02, S020-C02). In contrast, Story B shows reckless engagement and noble action. The protagonist voluntarily fights Giaks to save children (S010-C01) and enters a fierce battle to defend the Prince (S014-C01). Regarding morality, A is more selfish as the protagonist abandons the wizard and the Prince to save themselves (S004-C04, S027-C02), whereas B is more noble, actively risking life to help refugees and the royal family (S009-C01, S014-C01). Action-wise, A relies on stealth and avoidance (tactical), while B relies on direct combat (physical)."
