edge_id,source_id,target_id,transition_kind,weight_rule,weight_value,weight_expression,condition_kind,condition_value,semantic_risk,semantic_morality,semantic_action,origin,source_ref,note
e0078,40,105,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:76,
e0079,41,174,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:77,
e0080,41,116,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:78,
e0081,42,86,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:79,
e0082,42,238,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:80,
e0083,42,157,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:81,
e0084,42,147,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:82,
e0085,43,195,combat,formula,,"combat_outcome(43, ""survive"")",combat_outcome,survive,,,,supervised,LW01_supervision.csv:8,Victory after continuing the combat.
e0086,43,106,escape,formula,,"combat_outcome(43, ""escape"")",combat_outcome,escape,cautious,neutral,physical,supervised,LW01_supervision.csv:9,Escape outcome after surviving three combat rounds.
e0087,43,Death,combat,formula,,"combat_outcome(43, ""death"")",combat_outcome,death,,,,supervised,LW01_supervision.csv:10,Death before victory or escape.
e0088,44,277,random,constant,0.5,,,,,,,auto,LW01_e_edges.csv:85,
e0089,44,338,random,constant,0.5,,,,,,,auto,LW01_e_edges.csv:86,
e0090,45,180,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:87,
e0091,46,296,kai,formula,,"kai_available(""Sixth Sense"")",kai_discipline,Sixth Sense,,,,auto,LW01_e_edges.csv:88,Kai route is taken whenever the discipline is available.
e0092,46,246,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(46, 246)",,,reckless,neutral,neutral,auto,LW01_e_edges.csv:89,Choice among routes remaining when the Kai route is unavailable.
e0093,46,90,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(46, 90)",,,cautious,neutral,physical,auto,LW01_e_edges.csv:90,Choice among routes remaining when the Kai route is unavailable.
e0094,47,136,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:91,
e0095,47,322,profile_choice,profile_choice,,,,,cautious,neutral,physical,auto,LW01_e_edges.csv:92,
e0096,48,243,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:93,
e0097,49,339,random,constant,0.5,,,,,,,auto,LW01_e_edges.csv:94,
e0098,49,60,random,constant,0.5,,,,,,,auto,LW01_e_edges.csv:95,
e0099,50,97,profile_choice,profile_choice,,,,,reckless,neutral,neutral,auto,LW01_e_edges.csv:96,
e0100,50,243,profile_choice,profile_choice,,,,,cautious,neutral,neutral,auto,LW01_e_edges.csv:97,
e0101,51,288,profile_choice,profile_choice,,,,,reckless,neutral,tactical,auto,LW01_e_edges.csv:98,
e0102,51,221,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:99,
e0103,52,225,kai,formula,,"kai_available(""Animal Kinship"")",kai_discipline,Animal Kinship,,,,auto,LW01_e_edges.csv:100,Kai route is taken whenever the discipline is available.
e0104,52,250,kai,formula,,"1 - kai_available(""Animal Kinship"")",kai_discipline_absent,Animal Kinship,,,,auto,LW01_e_edges.csv:101,
e0105,53,Death,outcome,constant,1,,,,,,,auto,LW01_nodes.csv:53,Written narrative ending linked to its shared outcome.
e0106,54,Death,outcome,constant,1,,,,,,,auto,LW01_nodes.csv:54,Written narrative ending linked to its shared outcome.
e0107,55,325,combat,formula,,combat_win(55),,,,,,auto,LW01_e_edges.csv:102,"Transition after combat victory. | Combat outcome determines progression, but only one choice tag exists"
e0108,55,Death,combat,formula,,1 - combat_win(55),,,,,,auto,generated:combat_death:55,Implicit death when the combat is lost.
e0109,56,222,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:103,
e0110,57,164,profile_choice,profile_choice,,,,,reckless,neutral,tactical,auto,LW01_e_edges.csv:104,
e0111,57,109,profile_choice,profile_choice,,,,,reckless,neutral,tactical,auto,LW01_e_edges.csv:105,
e0112,57,308,profile_choice,profile_choice,,,,,neutral,neutral,tactical,auto,LW01_e_edges.csv:106,
e0113,58,251,profile_choice,profile_choice,,,,,cautious,neutral,tactical,auto,LW01_e_edges.csv:107,
e0114,58,160,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:108,
e0115,59,124,profile_choice,profile_choice,,,,,reckless,neutral,neutral,auto,LW01_e_edges.csv:109,
e0116,59,106,profile_choice,profile_choice,,,,,cautious,neutral,neutral,auto,LW01_e_edges.csv:110,
e0117,59,211,profile_choice,profile_choice,,,,,neutral,neutral,tactical,auto,LW01_e_edges.csv:111,
e0118,60,Death,outcome,constant,1,,,,,,,auto,LW01_nodes.csv:60,Written narrative ending linked to its shared outcome.
e0119,61,268,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:112,
e0120,62,288,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:113,
e0121,63,269,combat,formula,,combat_win(63),,,,,,auto,LW01_e_edges.csv:114,"Transition after combat victory. | Combat outcome determines progression, but only one choice tag exists"
e0122,63,Death,combat,formula,,1 - combat_win(63),,,,,,auto,generated:combat_death:63,Implicit death when the combat is lost.
e0123,64,188,profile_choice,profile_choice,,,,,cautious,selfish,physical,auto,LW01_e_edges.csv:115,
e0124,64,16,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:116,
e0125,65,104,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:117,
e0126,66,350,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:118,
e0127,67,252,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:119,
e0128,68,130,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:120,
e0129,68,15,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:121,
e0130,69,272,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:122,
e0131,70,8,kai,formula,,"kai_available(""Sixth Sense"")",kai_discipline,Sixth Sense,,,,auto,LW01_e_edges.csv:123,Kai route is taken whenever the discipline is available.
e0132,70,28,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(70, 28)",,,neutral,neutral,neutral,auto,LW01_e_edges.csv:124,Choice among routes remaining when the Kai route is unavailable.
e0133,70,157,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(70, 157)",,,neutral,neutral,neutral,auto,LW01_e_edges.csv:125,Choice among routes remaining when the Kai route is unavailable.
e0134,71,65,kai,formula,,"kai_available(""Sixth Sense"")",kai_discipline,Sixth Sense,,,,auto,LW01_e_edges.csv:126,Kai route is taken whenever the discipline is available.
e0135,71,242,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(71, 242)",,,reckless,selfish,physical,auto,LW01_e_edges.csv:127,Choice among routes remaining when the Kai route is unavailable.
e0136,71,104,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(71, 104)",,,cautious,neutral,neutral,auto,LW01_e_edges.csv:128,Choice among routes remaining when the Kai route is unavailable.
e0137,72,265,combat,formula,,combat_win(72),,,,,,auto,LW01_e_edges.csv:129,"Transition after combat victory. | Combat outcome determines progression, but only one choice tag exists"
e0138,72,Death,combat,formula,,1 - combat_win(72),,,,,,auto,generated:combat_death:72,Implicit death when the combat is lost.
e0139,73,243,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:130,
e0140,74,138,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:131,
e0141,74,281,profile_choice,profile_choice,,,,,cautious,neutral,physical,auto,LW01_e_edges.csv:132,
e0142,75,260,profile_choice,profile_choice,,,,,reckless,noble,physical,auto,LW01_e_edges.csv:133,
e0143,75,163,profile_choice,profile_choice,,,,,cautious,selfish,tactical,auto,LW01_e_edges.csv:134,
e0144,76,118,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:135,Loss of 2 ENDURANCE points during the transition
e0145,77,19,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:136,
e0146,78,132,profile_choice,profile_choice,,,,,cautious,neutral,neutral,auto,LW01_e_edges.csv:137,
e0147,78,12,profile_choice,profile_choice,,,,,cautious,selfish,neutral,auto,LW01_e_edges.csv:138,
e0148,78,220,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:139,
e0149,79,204,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:140,
e0150,80,7,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:141,
e0151,81,183,profile_choice,profile_choice,,,,,cautious,neutral,neutral,auto,LW01_e_edges.csv:142,
e0152,81,200,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:143,
e0153,82,235,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:144,
e0154,83,45,kai,formula,,"kai_available(""Sixth Sense"")",kai_discipline,Sixth Sense,,,,auto,LW01_e_edges.csv:145,Kai route is taken whenever the discipline is available.
e0155,83,205,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(83, 205)",,,cautious,neutral,neutral,auto,LW01_e_edges.csv:146,Choice among routes remaining when the Kai route is unavailable.
e0156,83,180,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(83, 180)",,,reckless,neutral,physical,auto,LW01_e_edges.csv:147,Choice among routes remaining when the Kai route is unavailable.
e0157,83,232,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(83, 232)",,,neutral,neutral,neutral,auto,LW01_e_edges.csv:148,Choice among routes remaining when the Kai route is unavailable.
e0158,84,188,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:149,
e0159,85,229,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:150,
e0160,85,99,profile_choice,profile_choice,,,,,cautious,neutral,physical,auto,LW01_e_edges.csv:151,
e0161,86,6,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:152,
e0162,86,35,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:153,
e0163,86,167,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:154,
e0164,86,42,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:155,
e0165,87,61,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:156,
e0166,88,216,kai,formula,,"kai_available(""Healing"")",kai_discipline,Healing,,,,auto,LW01_e_edges.csv:157,Kai route is taken whenever the discipline is available.
e0167,88,31,kai,formula,,"1 - kai_available(""Healing"")",kai_discipline_absent,Healing,,,,auto,LW01_e_edges.csv:158,
e0168,89,53,random,constant,0.2,,,,,,,auto,LW01_e_edges.csv:159,
e0169,89,274,random,constant,0.3,,,,,,,auto,LW01_e_edges.csv:160,
e0170,89,316,random,constant,0.5,,,,,,,auto,LW01_e_edges.csv:161,
e0171,90,18,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:162,
e0172,91,198,kai,formula,,"kai_available(""Sixth Sense"")",kai_discipline,Sixth Sense,,,,auto,LW01_e_edges.csv:163,Kai route is taken whenever the discipline is available.
e0173,91,152,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(91, 152)",,,neutral,neutral,tactical,auto,LW01_e_edges.csv:164,Choice among routes remaining when the Kai route is unavailable.
e0174,91,7,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(91, 7)",,,cautious,neutral,neutral,auto,LW01_e_edges.csv:165,Choice among routes remaining when the Kai route is unavailable.
e0175,92,13,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:166,
e0176,93,106,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:167,
e0177,94,7,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:168,
e0178,95,240,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:169,
e0179,95,5,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:170,
e0180,96,33,profile_choice,profile_choice,,,,,reckless,neutral,tactical,auto,LW01_e_edges.csv:171,
e0181,96,248,profile_choice,profile_choice,,,,,cautious,neutral,physical,auto,LW01_e_edges.csv:172,
e0182,97,255,profile_choice,profile_choice,,,,,reckless,noble,physical,auto,LW01_e_edges.csv:173,
e0183,97,306,profile_choice,profile_choice,,,,,cautious,selfish,physical,auto,LW01_e_edges.csv:174,
e0184,98,139,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:175,
e0185,99,222,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:176,
e0186,100,161,profile_choice,profile_choice,,,,,reckless,neutral,neutral,auto,LW01_e_edges.csv:177,
e0187,100,133,profile_choice,profile_choice,,,,,neutral,neutral,tactical,auto,LW01_e_edges.csv:178,
e0188,100,257,profile_choice,profile_choice,,,,,cautious,neutral,tactical,auto,LW01_e_edges.csv:179,
e0189,101,281,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:180,
e0190,102,284,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:181,
e0191,103,13,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:182,
e0192,103,287,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:183,
e0193,104,26,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:184,
e0194,104,100,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:185,
e0195,105,298,kai,formula,,"kai_available(""Animal Kinship"")",kai_discipline,Animal Kinship,,,,auto,LW01_e_edges.csv:186,Kai route is taken whenever the discipline is available.
e0196,105,335,kai,formula,,"1 - kai_available(""Animal Kinship"")",kai_discipline_absent,Animal Kinship,,,,auto,LW01_e_edges.csv:187,
e0197,106,263,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:188,
e0198,106,334,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:189,
e0199,107,23,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:190,
e0200,108,Death,outcome,constant,1,,,,,,,auto,LW01_nodes.csv:108,Written narrative ending linked to its shared outcome.
e0201,109,164,profile_choice,profile_choice,,,,,neutral,neutral,tactical,auto,LW01_e_edges.csv:191,
e0202,109,308,profile_choice,profile_choice,,,,,neutral,neutral,tactical,auto,LW01_e_edges.csv:192,
e0203,110,55,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:193,
e0204,111,57,profile_choice,profile_choice,,,,,reckless,neutral,neutral,auto,LW01_e_edges.csv:194,
e0205,111,308,profile_choice,profile_choice,,,,,neutral,neutral,tactical,auto,LW01_e_edges.csv:195,
e0206,112,33,profile_choice,formula,,"combat_win(112) * postcombat_choice_share(112, 33)",combat_outcome,win,reckless,neutral,tactical,supervised,LW01_supervision.csv:11,Choice to explore the cave after winning both combats.
e0207,112,248,profile_choice,formula,,"combat_win(112) * postcombat_choice_share(112, 248)",combat_outcome,win,cautious,selfish,physical,supervised,LW01_supervision.csv:12,Choice to leave after winning both combats.
e0208,112,Death,combat,formula,,1 - combat_win(112),combat_outcome,death,,,,supervised,LW01_supervision.csv:13,Death if the combats are lost.
e0209,113,347,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:198,
e0210,113,295,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:199,
e0211,114,239,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:200,
e0212,115,150,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:201,
e0213,115,177,profile_choice,profile_choice,,,,,neutral,neutral,tactical,auto,LW01_e_edges.csv:202,
e0214,115,83,profile_choice,profile_choice,,,,,cautious,neutral,physical,auto,LW01_e_edges.csv:203,
e0215,116,321,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:204,
e0216,117,330,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:205,
e0217,118,224,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:206,
e0218,119,226,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:207,
e0219,119,38,profile_choice,profile_choice,,,,,cautious,neutral,neutral,auto,LW01_e_edges.csv:208,
e0220,120,84,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:209,
e0221,120,171,profile_choice,profile_choice,,,,,cautious,neutral,physical,auto,LW01_e_edges.csv:210,
e0222,120,54,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:211,
e0223,121,342,profile_choice,profile_choice,,,,,reckless,neutral,neutral,auto,LW01_e_edges.csv:212,
e0224,121,309,profile_choice,profile_choice,,,,,reckless,neutral,tactical,auto,LW01_e_edges.csv:213,
e0225,121,283,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:214,
e0226,122,206,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:215,
e0227,123,304,profile_choice,profile_choice,,,,,reckless,selfish,physical,auto,LW01_e_edges.csv:216,
e0228,123,2,profile_choice,profile_choice,,,,,cautious,neutral,physical,auto,LW01_e_edges.csv:217,
e0229,124,211,profile_choice,profile_choice,,,,,reckless,neutral,tactical,auto,LW01_e_edges.csv:218,
e0230,124,106,profile_choice,profile_choice,,,,,cautious,neutral,neutral,auto,LW01_e_edges.csv:219,
